순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,유개승강장,버스안내단말기 설치유무,와이좌표,엑스좌표
255,183002155,8001749,12300,한밭중네거리,3011011800,대전광역시,동구,삼성동,O,O,36.33666,127.426789
256,183002159,8001876,12310,삼성초등학교,3011011800,대전광역시,동구,삼성동,O,O,36.336463,127.430093
257,183002160,8001872,12320,삼성네거리,3011011800,대전광역시,동구,삼성동,O,O,36.337124,127.430164
258,183002161,8001871,12330,삼성초등학교,3011011800,대전광역시,동구,삼성동,O,O,36.336555,127.430383
259,183002162,8001090,12340,계룡디지텍고입구,3011011800,대전광역시,동구,삼성동,O,O,36.339353,127.433395
260,183002001,8001365,12350,대성여자고등학교,3011011300,대전광역시,동구,소제동,O,O,36.336993,127.438728
261,183002216,8001366,12360,대성여자고등학교,3011011300,대전광역시,동구,소제동,O,O,36.337444,127.438068
262,183002355,8001420,12370,대전역,3011011900,대전광역시,동구,정동,O,O,36.333437,127.431404
263,183002356,8002695,12380,대전역/하나은행,3011011900,대전광역시,동구,정동,O,O,36.333745,127.431678
264,183002357,8001419,12390,대전역,3011011900,대전광역시,동구,정동,O,O,36.332736,127.431724
265,183002358,8001418,12400,대전역,3011011900,대전광역시,동구,정동,O,O,36.332539,127.43213
266,183002359,8001417,12410,대전역,3011011900,대전광역시,동구,정동,O,O,36.331952,127.432385
267,183002374,8001528,12420,목척교,3011012000,대전광역시,동구,중동,O,O,36.330358,127.429897
268,183002375,8002995,12430,목척교,3011012000,대전광역시,동구,중동,O,O,36.330172,127.430322
269,183002376,8001529,12440,목척교,3011012000,대전광역시,동구,중동,O,O,36.330624,127.430573
270,183002377,8001527,12450,목척교,3011012000,대전광역시,동구,중동,O,O,36.330683,127.430775
271,183002378,8001413,12460,대전역,3011012000,대전광역시,동구,중동,X,O,36.330462,127.431088
272,183002380,8001414,12470,대전역,3011012000,대전광역시,동구,중동,O,O,36.330813,127.431947
273,183002396,8002713,12490,상추,3011012100,대전광역시,동구,추동,X,X,36.373629,127.467786
274,183002397,8002712,12500,상추,3011012100,대전광역시,동구,추동,X,X,36.373647,127.467916
275,183002398,8005885,12510,중말,3011012100,대전광역시,동구,추동,O,X,36.37324,127.468435
276,183002399,8002714,12510,중말,3011012100,대전광역시,동구,추동,O,X,36.373335,127.468437
277,183002400,8005886,12520,중말,3011012100,대전광역시,동구,추동,X,X,36.373366,127.468476
278,183002403,8001448,12520,대청호자연생태관,3011012100,대전광역시,동구,추동,X,X,36.373749,127.472151
279,183002402,8001449,12540,대청호자연생태관,3011012100,대전광역시,동구,추동,O,O,36.373556,127.472118
280,183002406,8002657,12550,중추마을/가래울,3011012100,대전광역시,동구,추동,O,X,36.375798,127.475427
281,183002409,8002656,12560,중추마을/가래울,3011012100,대전광역시,동구,추동,X,X,36.375737,127.47551
